cbcl_q05_p,cbcl_q42_p,cbcl_q65_p,cbcl_q69_p,cbcl_q75_p,cbcl_q102_p,cbcl_q103_p,cbcl_q111_p,Count
0,0,0,0,0,0,0,0,6636
0,0,0,0,0,0,0,1,25
0,0,0,0,0,0,1,0,272
0,0,0,0,0,0,1,1,6
0,0,0,0,0,0,1,2,1
0,0,0,0,0,0,2,0,5
0,0,0,0,0,1,0,0,123
0,0,0,0,0,1,0,1,2
0,0,0,0,0,1,1,0,30
0,0,0,0,0,2,0,0,7
0,0,0,0,0,2,0,1,1
0,0,0,0,0,2,1,0,2
0,0,0,0,0,2,1,1,1
0,0,0,0,0,2,2,0,2
0,0,0,0,1,0,0,0,869
0,0,0,0,1,0,0,1,21
0,0,0,0,1,0,0,2,1
0,0,0,0,1,0,1,0,85
0,0,0,0,1,0,1,1,9
0,0,0,0,1,0,2,0,2
0,0,0,0,1,0,2,1,1
0,0,0,0,1,1,0,0,28
0,0,0,0,1,1,0,1,1
0,0,0,0,1,1,1,0,11
0,0,0,0,1,1,1,1,4
0,0,0,0,1,2,0,0,8
0,0,0,0,1,2,1,0,3
0,0,0,0,2,0,0,0,27
0,0,0,0,2,0,0,1,5
0,0,0,0,2,0,1,0,6
0,0,0,0,2,0,1,1,1
0,0,0,0,2,1,0,0,1
0,0,0,0,2,1,0,1,1
0,0,0,0,2,1,1,0,1
0,0,0,0,2,2,0,0,1
0,0,0,1,0,0,0,0,380
0,0,0,1,0,0,0,1,4
0,0,0,1,0,0,1,0,51
0,0,0,1,0,0,1,1,3
0,0,0,1,0,0,2,0,1
0,0,0,1,0,1,0,0,20
0,0,0,1,0,1,0,1,1
0,0,0,1,0,1,1,0,6
0,0,0,1,0,1,1,1,3
0,0,0,1,0,2,2,0,1
0,0,0,1,1,0,0,0,135
0,0,0,1,1,0,0,1,13
0,0,0,1,1,0,1,0,26
0,0,0,1,1,0,1,1,1
0,0,0,1,1,1,0,0,8
0,0,0,1,1,1,0,1,1
0,0,0,1,1,1,1,0,6
0,0,0,1,1,1,1,1,1
0,0,0,1,1,1,2,0,1
0,0,0,1,1,2,0,0,3
0,0,0,1,1,2,1,0,1
0,0,0,1,2,0,0,0,6
0,0,0,1,2,0,0,1,1
0,0,0,1,2,1,0,0,3
0,0,0,2,0,0,0,0,10
0,0,0,2,0,0,0,1,1
0,0,0,2,0,0,1,0,1
0,0,0,2,0,0,2,0,1
0,0,0,2,0,1,0,0,2
0,0,0,2,0,1,1,1,1
0,0,0,2,1,0,0,0,1
0,0,0,2,1,0,1,0,1
0,0,0,2,1,1,0,0,1
0,0,0,2,2,0,0,0,1
0,0,0,2,2,2,0,2,1
0,0,1,0,0,0,0,0,120
0,0,1,0,0,0,0,1,1
0,0,1,0,0,0,1,0,24
0,0,1,0,0,0,1,1,1
0,0,1,0,0,1,0,0,6
0,0,1,0,0,1,1,0,3
0,0,1,0,0,1,1,1,1
0,0,1,0,1,0,0,0,93
0,0,1,0,1,0,0,1,10
0,0,1,0,1,0,1,0,9
0,0,1,0,1,0,1,1,2
0,0,1,0,1,1,0,0,4
0,0,1,0,1,1,0,1,2
0,0,1,0,1,1,1,0,1
0,0,1,0,1,1,1,1,1
0,0,1,0,2,0,0,0,14
