cbcl_q06_p,cbcl_q07_p,cbcl_q15_p,cbcl_q24_p,cbcl_q44_p,cbcl_q53_p,cbcl_q55_p,cbcl_q56h_p,cbcl_q74_p,cbcl_q77_p,cbcl_q93_p,cbcl_q98_p,cbcl_q107_p,cbcl_q108_p,cbcl_q109_p,cbcl_q110_p,Count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,343
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,123
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,29
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,36
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35
0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,8
0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,328
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,96
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,7
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3
0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6
0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,5
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33
0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,11
0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3
0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2
0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5
0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,2
0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1
0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,239
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,67
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8
0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,8
0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3
0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1
0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1
0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,95
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,35
0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,3
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7
0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,4
0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,5
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1
0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1
0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8
0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,4
0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1
0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1
0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,9
0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,3
0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3
0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,142
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,23
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4
0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2
0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,0,1
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,6
0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,1
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2
0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5
0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4
0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2
0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,1
0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2
0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,1
0,0,0,0,0,0,2,0,1,0,2,0,0,0,2,0,1
0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2
0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,19
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4
0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2
0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2
0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2
0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,2,2,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,6
